Main,Track,Location,Date,Time,Speaker,Format,Panelist,Moderator
Wednesday Briefings Breakfast,""," Bayside DE, Level 1",WEDNESDAY , 8:00AM,,,,
 Guardians of the AI Era: Navigating the Cybersecurity Landscape of Tomorrow,  Keynote," Shoreline Ballroom, Level 2",WEDNESDAY , 9:00AM, Maria Markstedter, 60-Minute Keynote,,
A Pain in the NAS: Exploiting Cloud Connectivity to PWN Your NAS,"  Cloud Security,  Cyber-Physical Systems & IoT"," Oceanside C, Level 2",WEDNESDAY , 10:20AM," Noam Moshe, Speaker: Sharon Brizinov", 40-Minute Briefings,,
Chained to Hit: Discovering New Vectors to Gain Remote and Root Access in SAP Enterprise Software,"  Enterprise Security,  Application Security: Offense"," Islander HI, Level 0",WEDNESDAY , 10:20AM," Yvan Genuer, Speaker: Pablo Artuso", 40-Minute Briefings,,
Civil Cyber Defense: Use Your Resources to Defend Non-Profits as They Combat Human Trafficking and Subvert Authoritarian Regimes,"  Community & Career,  Privacy"," Jasmine AE, Level 3",WEDNESDAY , 10:20AM," Tiffany Rad, Speaker: Austin Shamlin", 40-Minute Briefings,,
Core Escalation: Unleashing the Power of Cross-Core Attacks on Heterogeneous System,"  Mobile,  Exploit Development"," South Seas AB, Level 3",WEDNESDAY , 10:20AM, Guanxing Wen, 40-Minute Briefings,,
Defender-Pretender: When Windows Defender Updates Become a Security Risk,"  Platform Security,  Reverse Engineering"," Mandalay Bay H, Level 2",WEDNESDAY , 10:20AM," Tomer Bar, Speaker: Omer Attias", 40-Minute Briefings,,
"Devising and Detecting Phishing: Large Language Models (GPT3, GPT4) vs. Smaller Human Models (V-Triad, Generic Emails)","  Human Factors,  AI, ML, & Data Science"," South Seas CD, Level 3",WEDNESDAY , 10:20AM," Fredrik Heiding, Contributor: Bruce Schneier, Contributor: Arun Vishwanath, Contributor: Jeremy Bernstein", 40-Minute Briefings,,
Reflections on Trust in the Software Supply Chain,"  Application Security: Defense,  Enterprise Security"," Islander FG, Level 0",WEDNESDAY , 10:20AM, Jeremy Long, 40-Minute Briefings,,
Smashing the State Machine: The True Potential of Web Race Conditions,"  Application Security: Offense,  Exploit Development"," Oceanside A, Level 2",WEDNESDAY , 10:20AM, James Kettle, 40-Minute Briefings,,
Video-Based Cryptanalysis: Recovering Cryptographic Keys from Non-compromised Devices Using Video Footage of a Device's Power LED,"  Hardware / Embedded,  Cryptography"," South Pacific F, Level 0",WEDNESDAY , 10:20AM," Ben Nassi, Speaker: Etay Iluz", 40-Minute Briefings,,
Briefings Morning Refreshment Break,"", Briefings Area,WEDNESDAY , 11:00AM,,,,
"Apple PAC, Four Years Later: Reverse Engineering the Customized Pointer Authentication Hardware Implementation on Apple M1","  Reverse Engineering,  Hardware / Embedded"," Islander FG, Level 0",WEDNESDAY , 11:20AM," Zec Cai, Contributor: Jiaxun Zhu, Contributor: Yutian Yang, Contributor: Wenbo Shen, Contributor: Yu Wang", 40-Minute Briefings,,
Badge of Shame: Breaking into Secure Facilities with OSDP,"  Cyber-Physical Systems & IoT,  Cryptography"," South Seas CD, Level 3",WEDNESDAY , 11:20AM," Dan Petro, Speaker: David Vargas", 40-Minute Briefings,,
BingBang: Hacking Bing.com (and much more) with Azure Active Directory,"  Cloud Security,  Enterprise Security"," Oceanside C, Level 2",WEDNESDAY , 11:20AM, Hillai Ben-Sasson, 40-Minute Briefings,,
"Fast, Ever-Evolving Defenders: The Resilience Revolution",  Defense," Oceanside A, Level 2",WEDNESDAY , 11:20AM, Kelly Shortridge, 40-Minute Briefings,,
Jailbreaking an Electric Vehicle in 2023 or What It Means to Hotwire Tesla's x86-Based Seat Heater,"  Platform Security,  Hardware / Embedded"," South Pacific F, Level 0",WEDNESDAY , 11:20AM," Christian Werling, Speaker: Niclas Kühnapfel, Contributor: Hans Niklas Jacob, Contributor: Oleg Drokin", 40-Minute Briefings,,
Lost Control: Breaking Hardware-Assisted Kernel Control-Flow Integrity with Page-Oriented Programming,"  Exploit Development,  Platform Security"," South Seas AB, Level 3",WEDNESDAY , 11:20AM, Seunghun Han, 40-Minute Briefings,,
Redacted Telecom Talk,"  Cryptography,  Hardware / Embedded"," Mandalay Bay H, Level 2",WEDNESDAY , 11:20AM," Carlo Meijer, Speaker: Wouter Bokslag, Speaker: Jos Wetzels", 40-Minute Briefings,,
Risks of AI Risk Policy: Five Lessons,"  Policy,  AI, ML, & Data Science"," Jasmine AE, Level 3",WEDNESDAY , 11:20AM," Ram Shankar Siva Kumar, Speaker: Jonathon Penney", 40-Minute Briefings,,
Route to Bugs: Analyzing the Security of BGP Message Parsing,"  Network Security,  Application Security: Offense"," Islander HI, Level 0",WEDNESDAY , 11:20AM," Daniel dos Santos, Speaker: Simon Guiot, Contributor: Stanislav Dashevskyi, Contributor: Amine Amri, Contributor: Oussama Kerro", 40-Minute Briefings,,
Wednesday Briefings Lunch,""," Bayside DE, Level 1",WEDNESDAY , 12:00PM,,,,
Becoming a Dark Knight: Adversary Emulation Demonstration for ATT&CK Evaluations,"  Defense,  Data Forensics & Incident Response"," Islander FG, Level 0",WEDNESDAY , 1:30PM," Cat Self, Speaker: Kate Esprit", 40-Minute Briefings,,
dr1v3by! Broken 802.11 Wifi Driver Leads to Millions of Vulnerable Cars,"  Cyber-Physical Systems & IoT,  Exploit Development"," Mandalay Bay H, Level 2",WEDNESDAY , 1:30PM, Omri Ben Bassat, 40-Minute Briefings,,
Hot Topics in Cyber and Privacy Regulation,  Policy," Oceanside C, Level 2",WEDNESDAY , 1:30PM,, 40-Minute Briefings," Daniel Cooper, Panelist: Mike Hintze, Panelist: Leslie Katz, Moderator: Adam Shostack",
I Watched You Roll the Die: Unparalleled RDP Monitoring Reveal Attackers' Tradecraft,"  Data Forensics & Incident Response,  Defense"," South Seas CD, Level 3",WEDNESDAY , 1:30PM," Olivier Bilodeau, Speaker: Andréanne Bergeron", 40-Minute Briefings,,
Physical Attacks Against Smartphones,"  Mobile,  Hardware / Embedded"," South Seas AB, Level 3",WEDNESDAY , 1:30PM, Christopher Wade, 40-Minute Briefings,,
"Single Instruction Multiple Data Leaks in Cutting-edge CPUs, AKA Downfall","  Hardware / Embedded,  Cloud Security"," South Pacific F, Level 0",WEDNESDAY , 1:30PM, Daniel Moghimi, 40-Minute Briefings,,
"Small Leaks, Billions Of Dollars: Practical Cryptographic Exploits That Undermine Leading Crypto Wallets","  Cryptography,  Exploit Development"," Jasmine AE, Level 3",WEDNESDAY , 1:30PM," Nikolaos Makriyannis, Speaker: Oren Yomtov, Speaker: Arik Galansky", 40-Minute Briefings,,
The Integration Cyber Security and Insurance: The Journey of Cysurance,  Cyber Insurance," Oceanside D, Level 2",WEDNESDAY , 1:30PM, Kirsten Bay, 40-Minute Briefings,,
Weaponizing Plain Text: ANSI Escape Sequences as a Forensic Nightmare,"  Application Security: Offense,  Application Security: Defense"," Oceanside A, Level 2",WEDNESDAY , 1:30PM, STÖK ., 40-Minute Briefings,,
Windows Agentless C2: (Ab)using the MDM Client Stack,"  Enterprise Security,  Exploit Development"," Islander HI, Level 0",WEDNESDAY , 1:30PM," Marcos Oviedo, Speaker: Zach Wasserman", 40-Minute Briefings,,
A Manufacturer's Post-Shipment Approach to Fend-Off IoT Malware in Home Appliances,"  Application Security: Defense,  Cyber-Physical Systems & IoT"," Islander HI, Level 0",WEDNESDAY , 2:30PM," Yuki Osawa, Speaker: Satoru Higuchi, Contributor: Satoshi Ito, Contributor: Manabu Nakano, Contributor: Takayuki Uchiyama", 30-Minute Briefings,,
BTD: Unleashing the Power of Decompilation for x86 Deep Neural Network Executables,"  Reverse Engineering,  AI, ML, & Data Science"," South Pacific F, Level 0",WEDNESDAY , 2:30PM," Zhibo Liu, Contributor: Yuanyuan Yuan, Contributor: Xiaofei Xie, Contributor: Tianxiang Li, Contributor: Wenqiang Li, Contributor: Shuai Wang", 30-Minute Briefings,,
Cookie Crumbles: Unveiling Web Session Integrity Vulnerabilities,"  Application Security: Offense,  Application Security: Defense"," Islander FG, Level 0",WEDNESDAY , 2:30PM," Marco Squarcina, Speaker: Pedro Adão", 30-Minute Briefings,,
From Dead Data to Digestion: Extracting Windows Fibers for Your Digital Forensics Diet,"  Data Forensics & Incident Response,  Reverse Engineering"," South Seas AB, Level 3",WEDNESDAY , 2:30PM, Daniel Jary, 30-Minute Briefings,,
HARry Parser and the Cursed Tracker: Breaking the Spell of Online Data Collection,"  Privacy,  Policy"," Oceanside C, Level 2",WEDNESDAY , 2:30PM," Ash Edmondson, Speaker: Matt Edmondson", 30-Minute Briefings,,
Identifying and Reducing Permission Explosion in AWS: A Graph-Based and Analytical Approach,"  Cloud Security,  AI, ML, & Data Science"," Jasmine AE, Level 3",WEDNESDAY , 2:30PM, Pankaj Moolrajani, 30-Minute Briefings,,
Leverage and Demonstrate Value with your Cyber Insurance Renewal,  Cyber Insurance," Oceanside D, Level 2",WEDNESDAY , 2:30PM, Erik Decker, 30-Minute Briefings,,
MaginotDNS: Attacking the Boundary of DNS Caching Protection,  Network Security," South Seas CD, Level 3",WEDNESDAY , 2:30PM," Zhou Li, Contributor: Xiang Li, Contributor: Qifan Zhang", 30-Minute Briefings,,
Second Breakfast: Implicit and Mutation-Based Serialization Vulnerabilities in .NET,"  Application Security: Offense,  Application Security: Defense"," Oceanside A, Level 2",WEDNESDAY , 2:30PM, Jonathan Birch, 30-Minute Briefings,,
The Most Dangerous Codec in the World: Finding and Exploiting Vulnerabilities in H.264 Decoders,"  Platform Security,  Exploit Development"," Mandalay Bay H, Level 2",WEDNESDAY , 2:30PM," Willy Vasquez, Speaker: Stephen Checkoway, Speaker: Hovav Shacham", 30-Minute Briefings,,
Briefings Afternoon Refreshment Break,"", Briefings Area,WEDNESDAY , 3:00PM,,,,
A SSLippery Slope: Unraveling the Hidden Dangers of Certificate Misuse,"  Platform Security,  Cryptography"," South Pacific F, Level 0",WEDNESDAY , 3:20PM, Bill Demirkapi, 40-Minute Briefings,,
Bad io_uring: A New Era of Rooting for Android,"  Exploit Development,  Mobile"," Jasmine AE, Level 3",WEDNESDAY , 3:20PM," Zhenpeng Lin, Contributor: Xinyu Xing, Contributor: Zhaofeng Chen, Contributor: Kang Li", 40-Minute Briefings,,
Close Encounters of the Advanced Persistent Kind: Leveraging Rootkits for Post-Exploitation,"  Malware,  Platform Security"," Mandalay Bay H, Level 2",WEDNESDAY , 3:20PM," Ruben Boonen, Speaker: Valentina Palmiotti", 40-Minute Briefings,,
Dismantling DDoS - Lessons in Scaling,"  Defense,  Network Security"," Islander FG, Level 0",WEDNESDAY , 3:20PM," Elliott Peterson, Speaker: Cameron Schroeder", 40-Minute Briefings,,
Diversity Microtalks: Perspectives on Creating Change,  Community & Career," South Seas AB, Level 3",WEDNESDAY , 3:20PM," Andy Ellis, Speaker: Meghan Jacquot, Speaker: Olivia Rose, Speaker: Aastha Sahni, Moderator: Sherri Davidoff", 40-Minute Briefings,,
Exploiting OPC-UA in Every Possible Way: Practical Attacks Against Modern OPC-UA Architectures,"  Cyber-Physical Systems & IoT,  Network Security"," South Seas CD, Level 3",WEDNESDAY , 3:20PM," Sharon Brizinov, Speaker: Noam Moshe", 40-Minute Briefings,,
Nothing but Net: Leveraging macOS's Networking Frameworks to Heuristically Detect Malware,"  Network Security,  Malware"," Oceanside A, Level 2",WEDNESDAY , 3:20PM, Patrick Wardle, 40-Minute Briefings,,
"Over the Air, Under the Radar: Attacking and Securing the Pixel Modem","  Mobile,  Hardware / Embedded"," Oceanside C, Level 2",WEDNESDAY , 3:20PM," Farzan Karimi, Speaker: Xuan Xing, Speaker: Xiling Gong, Speaker: Eugene Rodionov", 40-Minute Briefings,,
Shuffle Up and Deal: Analyzing the Security of Automated Card Shufflers,"  Hardware / Embedded,  Reverse Engineering"," Islander HI, Level 0",WEDNESDAY , 3:20PM," Joseph Tartaro, Speaker: Enrique Nissim, Contributor: Ethan Shackelford", 40-Minute Briefings,,
Why Cyber Insurance Should be Your SOC's New Best Friend,  Cyber Insurance," Oceanside D, Level 2",WEDNESDAY , 3:20PM, Catherine Lyle, 40-Minute Briefings,,
Bridging Cyber and Insurance,  Cyber Insurance," Oceanside D, Level 2",WEDNESDAY , 4:20PM, John Caruthers, 40-Minute Briefings,,
 Phoenix Soaring: What We Can Learn from Ukraine's Cyber Defenders about Building a More Resilient Future,  Keynote," Shoreline Ballroom, Level 2",WEDNESDAY , 4:20PM," Jen Easterly, Speaker: Victor Zhora", 40-Minute Keynote,,
Thursday Briefings Breakfast,""," Bayside DE, Level 1",THURSDAY , 8:00AM,,,,
 Acting National Cyber Director Kemba Walden Discusses the National Cybersecurity Strategy and Workforce Efforts,  Keynote," Shoreline Ballroom, Level 2",THURSDAY , 9:00AM, Kemba Walden, 60-Minute Keynote,,
AI Assisted Decision Making of Security Review Needs for New Features,"  Application Security: Defense,  AI, ML, & Data Science"," South Seas AB, Level 3",THURSDAY , 10:20AM," Mrityunjay Gautam, Speaker: Pavan Kolachoor", 40-Minute Briefings,,
All You Need is Guest,"  Cloud Security,  Enterprise Security"," Oceanside C, Level 2",THURSDAY , 10:20AM, Michael Bargury, 40-Minute Briefings,,
Diving into Windows Remote Access Service for Pre-Auth Bugs,"  Network Security,  Exploit Development"," Islander FG, Level 0",THURSDAY , 10:20AM, Yuki Chen, 40-Minute Briefings,,
"EDR = Erase Data Remotely, By Cooking An Unforgettable (Byte) Signature Dish","  Enterprise Security,  Platform Security"," Mandalay Bay H, Level 2",THURSDAY , 10:20AM," Tomer Bar, Speaker: Shmuel Cohen", 40-Minute Briefings,,
Entrepreneur's Dilemma: Managing Growth and Dedication to Product Quality,  Entrepreneur," Oceanside D, Level 2",THURSDAY , 10:20AM, Mario Vuksan, 40-Minute Briefings,,
IRonMAN: InterpRetable Incident Inspector Based ON Large-Scale Language Model and Association miNing,"  AI, ML, & Data Science"," Jasmine AE, Level 3",THURSDAY , 10:20AM," Sian-Yao Huang, Speaker: Cheng-Lin Yang, Speaker: Chung-Kuan Chen", 40-Minute Briefings,,
Making and Breaking NSA's Codebreaker Challenge,  Community & Career," South Seas CD, Level 3",THURSDAY , 10:20AM, Rita Doerr, 40-Minute Briefings,,
Oven Repair (The Hardware Hacking Way),"  Hardware / Embedded,  Cyber-Physical Systems & IoT"," Oceanside A, Level 2",THURSDAY , 10:20AM, Colin O'Flynn, 40-Minute Briefings,,
Unsafe At Any Speed: CISA's Plan to Foster Tech Ecosystem Security,"  Policy,  Application Security: Defense"," Islander HI, Level 0",THURSDAY , 10:20AM," Bob Lord, Speaker: Jack Cable", 40-Minute Briefings,,
What Does an LLM-Powered Threat Intelligence Program Look Like?,"  Defense,  AI, ML, & Data Science"," South Pacific F, Level 0",THURSDAY , 10:20AM," John Miller, Speaker: Ron Graf", 40-Minute Briefings,,
Briefings Morning Refreshment Break,"", Briefings Area,THURSDAY , 11:00AM,,,,
Apple's Predicament: NSPredicate Exploits on iOS and macOS,"  Exploit Development,  Application Security: Offense"," Oceanside C, Level 2",THURSDAY , 11:20AM, Austin Emmitt, 40-Minute Briefings,,
First Party Problems in a Zero Trust World: The Accidental Discovery of a New Vulnerability in Google's OAuth Implementation,"  Enterprise Security,  Cloud Security"," South Pacific F, Level 0",THURSDAY , 11:20AM, Brian Smith-Sweeney, 40-Minute Briefings,,
How NOT to Train Your Hack Bot: Dos and Don'ts of Building Offensive GPTs,"  AI, ML, & Data Science,  Application Security: Offense"," Islander HI, Level 0",THURSDAY , 11:20AM," Ariel Herbert-Voss, Speaker: Shane Caldwell", 40-Minute Briefings,,
Idea to Realization: Cybersecurity Entrepreneurship,  Entrepreneur," Oceanside D, Level 2",THURSDAY , 11:20AM, Jon Oberheide, 40-Minute Briefings,,
Lemons and Liability: Cyber Warranties as an Experiment in Software Regulation,"  Policy,  Enterprise Security"," Islander FG, Level 0",THURSDAY , 11:20AM, Daniel Woods, 40-Minute Briefings,,
"Lessons Learned from the KA-SAT Cyberattack: Response, Mitigation and Information Sharing","  Data Forensics & Incident Response,  Network Security"," Mandalay Bay H, Level 2",THURSDAY , 11:20AM," Mark Colaluca, Speaker: Kristina Walter, Contributor: Craig Miller, Contributor: Nick Saunders, Contributor: Michael Sutton", 40-Minute Briefings,,
Mac-ing Sense of the 3CX Supply Chain Attack: Analysis of the macOS Payloads,"  Malware,  Enterprise Security"," Oceanside A, Level 2",THURSDAY , 11:20AM, Patrick Wardle, 40-Minute Briefings,,
Me and My Evil Digital Twin: The Psychology of Human Exploitation by AI Assistants,"  Human Factors,  AI, ML, & Data Science"," South Seas CD, Level 3",THURSDAY , 11:20AM," Matthew Canham, Speaker: Ben Sawyer", 40-Minute Briefings,,
Three New Attacks Against JSON Web Tokens,"  Cryptography,  Application Security: Offense"," South Seas AB, Level 3",THURSDAY , 11:20AM, Tom Tervoort, 40-Minute Briefings,,
Uncovering Azure's Silent Threats: A Journey into Cloud Vulnerabilities,"  Cloud Security,  AI, ML, & Data Science"," Jasmine AE, Level 3",THURSDAY , 11:20AM," Nitesh Surana, Contributor: Magno Logan, Contributor: David Fiser", 40-Minute Briefings,,
Thursday Briefings Lunch,""," Bayside DE, Level 1",THURSDAY , 12:00PM,,,,
Entrepreneur Journeys: What it Takes to Start a Startup,  Entrepreneur," Oceanside D, Level 2",THURSDAY , 1:30PM," Varun Badhwar, Speaker: Umaimah Khan, Speaker: Travis McPeak, Speaker: Eitan Worcel, Speaker: Caleb Sima",,,
Evasive Maneuvers: Trends in Phishing Evasion & Anti-Evasion,"  Enterprise Security,  Data Forensics & Incident Response"," Islander HI, Level 0",THURSDAY , 1:30PM, Din Serussi, 40-Minute Briefings,,
"Forward Focus: Perspectives on AI, Hype, and Security","  AI, ML, & Data Science"," Oceanside A, Level 2",THURSDAY , 1:30PM,, 40-Minute Briefings,," Nathan Hamiel, Speaker: Ariel Herbert-Voss"
"Houston, We Have a Problem: Analyzing the Security of Low Earth Orbit Satellites","  Cyber-Physical Systems & IoT,  Hardware / Embedded"," South Seas AB, Level 3",THURSDAY , 1:30PM, Johannes Willbold, 40-Minute Briefings,,
Input Output + Syslog (iO+S): Obtaining Data From Locked iOS Devices via Live Monitoring,"  Data Forensics & Incident Response,  Mobile"," Oceanside C, Level 2",THURSDAY , 1:30PM," Nicholas Dubois, Speaker: Jessica Hyde", 40-Minute Briefings,,
"Lifting the Fog of War - Monitoring, Identifying and Mitigating MS-RPC Based Threats","  Network Security,  Data Forensics & Incident Response"," South Seas CD, Level 3",THURSDAY , 1:30PM, Stiv Kupchik, 40-Minute Briefings,,
npm and Sigstore: Provenance Comes to the World's Largest OSS Ecosystem,"  Defense,  Application Security: Defense"," South Pacific F, Level 0",THURSDAY , 1:30PM," Trevor Rosen, Speaker: Zach Steindler", 40-Minute Briefings,,
"One Drive, Double Agent: Clouded OneDrive Turns Sides","  Malware,  Cloud Security"," Mandalay Bay H, Level 2",THURSDAY , 1:30PM, Or Yair, 40-Minute Briefings,,
Synthetic Trust: Exploiting Biases at Scale,"  Human Factors,  AI, ML, & Data Science"," Jasmine AE, Level 3",THURSDAY , 1:30PM," Esty Scheiner, Speaker: Bivu Bivu", 40-Minute Briefings,,
TSSHOCK: Breaking MPC Wallets and Digital Custodians for $BILLION$ Profit,"  Cryptography,  Application Security: Offense"," Islander FG, Level 0",THURSDAY , 1:30PM," Duy Hieu Nguyen, Speaker: Anh Khoa Nguyen, Speaker: Huu Giap Nguyen, Contributor: Thanh Nguyen, Contributor: Anh Quynh Nguyen", 40-Minute Briefings,,
A Q&A with a16z's Zane Lackey: Unlocking the Secrets of Cybersecurity Entrepreneurship,  Entrepreneur," Oceanside D, Level 2",THURSDAY , 2:30PM, Zane Lackey, 30-Minute Briefings,,
Dive into Apple UserFS (Userspace Filesystem),"  Mobile,  Platform Security"," South Seas CD, Level 3",THURSDAY , 2:30PM, Zuozhi Fan, 30-Minute Briefings,,
Does Public Disclosure of Vulnerabilities Affect Hacker Participation in Bug Bounty Programs?,"  Application Security: Defense,  Enterprise Security"," Islander FG, Level 0",THURSDAY , 2:30PM," Ali Ahmed, Contributor: Brian Lee, Contributor: Amit Deokar", 30-Minute Briefings,,
Endoscope: Unpacking Android Apps with VM-Based Obfuscation,"  Malware,  Mobile"," Jasmine AE, Level 3",THURSDAY , 2:30PM, Fan Wu, 30-Minute Briefings,,
Evading Logging in the Cloud: Bypassing AWS CloudTrail,"  Cloud Security,  Data Forensics & Incident Response"," South Pacific F, Level 0",THURSDAY , 2:30PM, Nick Frichette, 30-Minute Briefings,,
Kill Latest MPU-based Protections in Just One Shot: Targeting All Commodity RTOSes,"  Hardware / Embedded,  Exploit Development"," South Seas AB, Level 3",THURSDAY , 2:30PM," Yueqi Chen, Speaker: Minghao Lin, Contributor: Chaoyang Lin, Contributor: Jiahe Wang, Contributor: Zicheng Wang, Contributor: Minghang Shen", 30-Minute Briefings,,
Mirage: Cyber Deception Against Autonomous Cyber Attacks,"  AI, ML, & Data Science,  Defense"," Oceanside C, Level 2",THURSDAY , 2:30PM," Michael Kouremetis, Speaker: Ron Alford, Speaker: Dean Lawrence", 30-Minute Briefings,,
mTLS: When Certificate Authentication is Done Wrong,"  Application Security: Offense,  Network Security"," Oceanside A, Level 2",THURSDAY , 2:30PM, Michael Stepankin, 30-Minute Briefings,,
Protecting the CISO: A Legal Journey,"  Policy,  Data Forensics & Incident Response"," Islander HI, Level 0",THURSDAY , 2:30PM," Nick Merker, Speaker: Stephen Reynolds", 30-Minute Briefings,,
When a Zero Day and Access Keys Collide in the Cloud: Responding to the SugarCRM 0-Day Vulnerability,"  Data Forensics & Incident Response,  Cloud Security"," Mandalay Bay H, Level 2",THURSDAY , 2:30PM, Margaret Zimmermann, 30-Minute Briefings,,
Briefings Afternoon Refreshment Break,"", Briefings Area,THURSDAY , 3:00PM,,,,
CodeQL: Also a Powerful Binary Analysis Engine,"  Reverse Engineering,  Cloud Security"," Jasmine AE, Level 3",THURSDAY , 3:20PM," Haiquan Zhang, Speaker: Rhettxie Rhettxie", 40-Minute Briefings,,
I Was Tasked With Enrolling Millions of Developers in 2FA - Here's What Happened,"  Human Factors,  Enterprise Security"," Islander HI, Level 0",THURSDAY , 3:20PM, John Swanson, 40-Minute Briefings,,
Know Thy Enemy: The Taxonomies That Meta Uses to Map the Offensive Privacy Space,  Privacy," South Seas AB, Level 3",THURSDAY , 3:20PM," David Renardy, Speaker: Zach Miller", 40-Minute Briefings,,
Low-level RASP: Protecting Applications Implemented in High-level Programming Languages,"  Application Security: Defense,  Enterprise Security"," Islander FG, Level 0",THURSDAY , 3:20PM," Zhuonan Li, Contributor: Qi Li , Contributor: Zimin Lin", 40-Minute Briefings,,
MoustachedBouncer: AitM-Powered Surveillance via Belarus ISPs,"  Malware,  Reverse Engineering"," Mandalay Bay H, Level 2",THURSDAY , 3:20PM, Matthieu Faou, 40-Minute Briefings,,
Poisoning Web-Scale Training Datasets is Practical,"  AI, ML, & Data Science"," Oceanside A, Level 2",THURSDAY , 3:20PM, Will Pearce, 40-Minute Briefings,,
Seeing Through the Invisible: Radiation Spikes Detected in Chernobyl During the Russian Invasion Show Possible Evidence of Fabrication,"  Data Forensics & Incident Response,  Cyber-Physical Systems & IoT"," Oceanside C, Level 2",THURSDAY , 3:20PM, Ruben Santamarta, 40-Minute Briefings,,
The Hat Trick: Exploit Chrome Twice from Runtime to JIT,"  Exploit Development,  Platform Security"," South Pacific F, Level 0",THURSDAY , 3:20PM," Nan Wang, Speaker: Zhenghang Xiao", 40-Minute Briefings,,
The Living Dead: Hacking Mobile Face Recognition SDKs with Non-Deepfake Attacks,"  Application Security: Offense,  Mobile"," South Seas CD, Level 3",THURSDAY , 3:20PM," Xianbo Wang, Speaker: Kaixuan Luo, Speaker: Wing Cheong Lau", 40-Minute Briefings,,
CoDe16; 16 Zero-Day Vulnerabilities Affecting CODESYS Framework Leading to Remote Code Execution on Millions of Industrial Devices Across Industries,"  Cyber-Physical Systems & IoT,  Hardware / Embedded"," Mandalay Bay H, Level 2",THURSDAY , 4:20PM, Vladimir Eliezer Tokarev, 40-Minute Briefings,,
Compromising LLMs: The Advent of AI Malware,"  AI, ML, & Data Science,  Malware"," Oceanside C, Level 2",THURSDAY , 4:20PM," Kai Greshake, Speaker: Christoph Endres, Speaker: Mario Fritz, Speaker: Shailesh Mishra, Speaker: Sahar Abdelnabi", 40-Minute Briefings,,
Kids in the Ad Fraud Crosshair: Why International Threat Actors are Targeting Children to Steal Money from Banks and Major Corporations,  Human Factors," South Seas AB, Level 3",THURSDAY , 4:20PM, Zach Edwards, 40-Minute Briefings,,
Make KSMA Great Again: The Art of Rooting Android Devices by GPU MMU Features,"  Exploit Development,  Platform Security"," South Seas CD, Level 3",THURSDAY , 4:20PM, Yong Wang, 40-Minute Briefings,,
ODDFuzz: Hunting Java Deserialization Gadget Chains via Structure-Aware Directed Greybox Fuzzing,  Application Security: Offense," Islander FG, Level 0",THURSDAY , 4:20PM," Biao He, Speaker: Haowen Mu, Contributor: Yu Ouyang", 40-Minute Briefings,,
The 9th Annual Black Hat USA Network Operations Center (NOC) Report,"  Network Security,  Application Security: Defense"," Oceanside A, Level 2",THURSDAY , 4:20PM," Neil Wyler, Speaker: Bart Stump", 40-Minute Briefings,,
The Yandex Leak: How a Russian Search Giant Uses Consumer Data,  Privacy," Islander HI, Level 0",THURSDAY , 4:20PM, Kaileigh McCrea, 40-Minute Briefings,,
Zero-Touch-Pwn: Abusing Zoom's Zero Touch Provisioning for Remote Attacks on Desk Phones,"  Reverse Engineering,  Exploit Development"," South Pacific F, Level 0",THURSDAY , 4:20PM, Moritz Abrell, 40-Minute Briefings,,
